true_label,predicted,confidence,text_preview
Stressed,Not Stressed,0.33696754183021055,"I actually give an assistant half my emergency fee to come help me sometimes. I feel unsafe driving to ""house calls"" in the middle of the night by mys..."
Stressed,Not Stressed,0.44902685047551566,"Next week I’ll be flying for our family vacation. The flights won’t be very long (just MSY to LAS then LAX to MSY on the way home), but flying really ..."
Stressed,Not Stressed,0.19010768970217562,"I’ve been taking 12.5 mgs zoloft for about 6 months (yeah, super small dose .. but it was taking the edge off, i think). I decided to stop taking it f..."
Not Stressed,Stressed,0.6837644061040181,"If anything goes wrong, sexually, I want to cease to exist, and a lot of the time, I'm not able to do it out of sheer anxiety. I used to be a very sof..."
Not Stressed,Stressed,0.5885083861196309,November has been one of the worst months in a long time. My mom was in a car accident and has no idea how she's getting to work. A few days later my ...
Not Stressed,Stressed,0.8746143873419072,"Okay, So in since October have just got out of an eight year relationship . We were engaged to get married next year, but it did not work out. It ende..."
Stressed,Not Stressed,0.1751551768047454,Did I mention my parents are religious? I don't know if this is normal for religious people to treat. Whenever I tell them I'm terrified of being home...
Stressed,Not Stressed,0.25502877637194354,"But it's been 2 monthsalready this time. We didn't speak for Christmas or new year. I'm lonely, sad, angry at the situation (not angry at him!) and th..."
Not Stressed,Stressed,0.7220023254223515,I'm pretty healthy and have a silcock key for water but surviving the heat goes beyond just staying hydrated. Not enough food or the salt that comes w...
Stressed,Not Stressed,0.062071444105009775,"I just got out of a four year, mostly on but sometimes off relationship. The last interaction we had, he was moving out. The night before, he had stra..."
